Question / Topic,Asked Count,Company,Date Asked,Difficulty,Frequency Bucket,Is Premium,Notes,Platform,Round Type,Source,Topic
2325. Decode the Message,,,,Easy,,No,,LeetCode,,LeetCode Free,
2367. Number of Arithmetic Triplets,,,,Easy,,No,,LeetCode,,LeetCode Free,
2392. Build a Matrix With Conditions,,,,Hard,,No,,LeetCode,,LeetCode Free,
2434. Using a Robot to Print the Lexicographically Smallest String,,,,Medium,,No,,LeetCode,,LeetCode Free,
2426. Number of Pairs Satisfying Inequality,,,,Hard,,No,,LeetCode,,LeetCode Free,
2375. Construct Smallest Number From DI String,,,,Medium,,No,,LeetCode,,LeetCode Free,
159. Longest Substring with At Most Two Distinct Characters,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
161. One Edit Distance,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
3234. Count the Number of Substrings With Dominant Ones,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
170. Two Sum III - Data structure design,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
156. Binary Tree Upside Down,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
243. Shortest Word Distance,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
244. Shortest Word Distance II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
163. Missing Ranges,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
186. Reverse Words in a String II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
158. Read N Characters Given read4 II - Call Multiple Times,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
252. Meeting Rooms,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
249. Group Shifted Strings,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
254. Factor Combinations,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
247. Strobogrammatic Number II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
255. Verify Preorder Sequence in Binary Search Tree,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
248. Strobogrammatic Number III,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
245. Shortest Word Distance III,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
251. Flatten 2D Vector,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
246. Strobogrammatic Number,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
250. Count Univalue Subtrees,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
256. Paint House,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
265. Paint House II,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
259. 3Sum Smaller,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
267. Palindrome Permutation II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
266. Palindrome Permutation,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
270. Closest Binary Search Tree Value,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
272. Closest Binary Search Tree Value II,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
276. Paint Fence,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
271. Encode and Decode Strings,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
261. Graph Valid Tree,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
281. Zigzag Iterator,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
286. Walls and Gates,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
294. Flip Game II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
296. Best Meeting Point,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
285. Inorder Successor in BST,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
298. Binary Tree Longest Consecutive Sequence,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
293. Flip Game,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
280. Wiggle Sort,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
288. Unique Word Abbreviation,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
291. Word Pattern II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
311. Sparse Matrix Multiplication,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
339. Nested List Weight Sum,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
323. Number of Connected Components in an Undirected Graph,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
308. Range Sum Query 2D - Mutable,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
302. Smallest Rectangle Enclosing Black Pixels,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
317. Shortest Distance from All Buildings,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
320. Generalized Abbreviation,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
333. Largest BST Subtree,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
314. Binary Tree Vertical Order Traversal,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
325. Maximum Size Subarray Sum Equals k,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
346. Moving Average from Data Stream,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
353. Design Snake Game,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
351. Android Unlock Patterns,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
359. Logger Rate Limiter,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
360. Sort Transformed Array,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
340. Longest Substring with At Most K Distinct Characters,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
358. Rearrange String k Distance Apart,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
356. Line Reflection,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
348. Design Tic-Tac-Toe,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
361. Bomb Enemy,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
418. Sentence Screen Fitting,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
411. Minimum Unique Word Abbreviation,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
366. Find Leaves of Binary Tree,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
370. Range Addition,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
425. Word Squares,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
369. Plus One Linked List,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
422. Valid Word Square,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
408. Valid Word Abbreviation,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
379. Design Phone Directory,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
364. Nested List Weight Sum II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
428. Serialize and Deserialize N-ary Tree,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
465. Optimal Account Balancing,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
471. Encode String with Shortest Length,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
439. Ternary Expression Parser,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
426. Convert Binary Search Tree to Sorted Doubly Linked List,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
487. Max Consecutive Ones II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
469. Convex Polygon,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
444. Sequence Reconstruction,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
484. Find Permutation,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
431. Encode N-ary Tree to Binary Tree,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
531. Lonely Pixel I,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
512. Game Play Analysis II,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
549. Binary Tree Longest Consecutive Sequence II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
544. Output Contest Matches,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
533. Lonely Pixel II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
555. Split Concatenated Strings,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
536. Construct Binary Tree from String,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
548. Split Array with Equal Sum,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
527. Word Abbreviation,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
534. Game Play Analysis III,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
579. Find Cumulative Salary of an Employee,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
580. Count Student Number in Departments,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
574. Winning Candidate,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
578. Get Highest Answer Rate Question,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
568. Maximum Vacation Days,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
573. Squirrel Simulation,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
571. Find Median Given Frequency of Numbers,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
562. Longest Line of Consecutive One in Matrix,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
582. Kill Process,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
569. Median Employee Salary,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
618. Students Report By Geography,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
614. Second Degree Follower,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
612. Shortest Distance in a Plane,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
613. Shortest Distance in a Line,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
616. Add Bold Tag in String,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
603. Consecutive Available Seats,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
604. Design Compressed String Iterator,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
597. Friend Requests I: Overall Acceptance Rate,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
615. Average Salary: Departments VS Company,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
588. Design In-Memory File System,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
642. Design Search Autocomplete System,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
631. Design Excel Sum Formula,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
625. Minimum Factorization,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
651. 4 Keys Keyboard,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
635. Design Log Storage System,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
660. Remove 9,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
634. Find the Derangement of An Array,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
656. Coin Path,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
644. Maximum Average Subarray II,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
663. Equal Tree Partition,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
716. Max Stack,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
666. Path Sum IV,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
708. Insert into a Sorted Circular Linked List,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
681. Next Closest Time,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
727. Minimum Window Subsequence,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
694. Number of Distinct Islands,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
723. Candy Crush,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
683. K Empty Slots,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
702. Search in a Sorted Array of Unknown Size,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
711. Number of Distinct Islands II,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
772. Basic Calculator III,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
760. Find Anagram Mappings,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
755. Pour Water,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
759. Employee Free Time,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
737. Sentence Similarity II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
758. Bold Words in String,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
751. IP to CIDR,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
742. Closest Leaf in a Binary Tree,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
734. Sentence Similarity,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
750. Number Of Corner Rectangles,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
776. Split BST,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1057. Campus Bikes,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1058. Minimize Rounding Error to Meet Target,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1059. All Paths from Source Lead to Destination,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1055. Shortest Way to Form String,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1056. Confusing Number,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
774. Minimize Max Distance to Gas Station,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1062. Longest Repeating Substring,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1060. Missing Element in Sorted Array,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
800. Similar RGB Color,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1063. Number of Valid Subarrays,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1083. Sales Analysis II,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1067. Digit Count in Range,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1086. High Five,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1064. Fixed Point,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1066. Campus Bikes II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1069. Product Sales Analysis II,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1065. Index Pairs of a String,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1082. Sales Analysis I,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1085. Sum of Digits in the Minimum Number,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1112. Highest Grade For Each Student,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1088. Confusing Number II,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1107. New Users Daily Count,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1101. The Earliest Moment When Everyone Become Friends,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1100. Find K-Length Substrings With No Repeated Characters,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1097. Game Play Analysis V,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1099. Two Sum Less Than K,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1098. Unpopular Books,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1102. Path With Maximum Minimum Value,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1087. Brace Expansion,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1118. Number of Days in a Month,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1113. Reported Posts,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1134. Armstrong Number,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1126. Active Businesses,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1119. Remove Vowels from a String,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1121. Divide Array Into Increasing Sequences,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1132. Reported Posts II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1127. User Purchase Platform,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1133. Largest Unique Number,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1120. Maximum Average Subtree,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1152. Analyze User Website Visit Pattern,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1151. Minimum Swaps to Group All 1's Together,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1135. Connecting Cities With Minimum Cost,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1150. Check If a Number Is Majority Element in a Sorted Array,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1165. Single-Row Keyboard,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1153. String Transforms Into Another String,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1142. User Activity for the Past 30 Days II,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1149. Article Views II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1159. Market Analysis II,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1136. Parallel Courses,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1182. Shortest Distance to Target Color,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1181. Before and After Puzzle,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1167. Minimum Cost to Connect Sticks,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1166. Design File System,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1180. Count Substrings with Only One Distinct Letter,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1168. Optimize Water Distribution in a Village,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1176. Diet Plan Performance,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1188. Design Bounded Blocking Queue,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1173. Immediate Food Delivery I,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1183. Maximum Number of Ones,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1215. Stepping Numbers,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1197. Minimum Knight Moves,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1198. Find Smallest Common Element in All Rows,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1194. Tournament Winners,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1205. Monthly Transactions II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1212. Team Scores in Football Tournament,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1214. Two Sum BSTs,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1199. Minimum Time to Build Blocks,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1196. How Many Apples Can You Put into the Basket,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1213. Intersection of Three Sorted Arrays,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1242. Web Crawler Multithreaded,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1243. Array Transformation,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1236. Web Crawler,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1231. Divide Chocolate,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1228. Missing Number In Arithmetic Progression,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1216. Valid Palindrome III,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1230. Toss Strange Coins,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1225. Report Contiguous Dates,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1241. Number of Comments per Post,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1244. Design A Leaderboard,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1271. Hexspeak,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1259. Handshakes That Don't Cross,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1256. Encode Number,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1258. Synonymous Sentences,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1265. Print Immutable Linked List in Reverse,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1257. Smallest Common Region,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1264. Page Recommendations,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1270. All People Report to the Given Manager,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1272. Remove Interval,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1273. Delete Tree Nodes,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1285. Find the Start and End Number of Continuous Ranges,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1322. Ads Performance,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1303. Find the Team Size,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1294. Weather Type in Each Country,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1350. Students With Invalid Departments,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1336. Number of Transactions per Visit,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1279. Traffic Light Controlled Intersection,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1274. Number of Ships in a Rectangle,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1355. Activity Participants,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1308. Running Total for Different Genders,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1398. Customers Who Bought Products A and B but Not C,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1426. Counting Elements,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1428. Leftmost Column with at Least a One,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1429. First Unique Number,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1421. NPV Queries,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1364. Number of Trusted Contacts of a Customer,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1412. Find the Quiet Students in All Exams,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1384. Total Sales Amount by Year,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1369. Get the Second Most Recent Activity,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1427. Perform String Shifts,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1495. Friendly Movies Streamed Last Month,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1501. Countries You Can Safely Invest In,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1435. Create a Session Bar Chart,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1506. Find Root of N-Ary Tree,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1500. Design a File Sharing System,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1516. Move Sub-Tree of N-Ary Tree,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1454. Active Users,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1522. Diameter of N-Ary Tree,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1469. Find All The Lonely Nodes,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1479. Sales by Day of the Week,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1440. Evaluate Boolean Expression,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1474. Delete N Nodes After M Nodes of a Linked List,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1532. The Most Recent Three Orders,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1459. Rectangles Area,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1445. Apples & Oranges,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1511. Customer Order Frequency,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1490. Clone N-ary Tree,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1468. Calculate Salaries,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1485. Clone Binary Tree With Random Pointer,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1430. Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1565. Unique Orders and Customers Per Month,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1543. Fix Product Name Format,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1533. Find the Index of the Large Integer,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1549. The Most Recent Orders for Each Product,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1538. Guess the Majority in a Hidden Array,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1570. Dot Product of Two Sparse Vectors,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1564. Put Boxes Into the Warehouse I,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1554. Strings Differ by One Character,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1555. Bank Account Summary,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1548. The Most Similar Path in a Graph,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1597. Build Binary Expression Tree From Infix Expression,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1571. Warehouse Manager,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1613. Find the Missing IDs,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1602. Find Nearest Right Node in Binary Tree,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1596. The Most Frequently Ordered Products for Each Customer,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1586. Binary Search Tree Iterator II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1607. Sellers With No Sales,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1612. Check If Two Expression Trees are Equivalent,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1618. Maximum Font to Fit a Sentence in a Screen,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1580. Put Boxes Into the Warehouse II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1634. Add Two Polynomials Represented as Linked Lists,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1651. Hopper Company Queries III,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1623. All Valid Triplets That Can Represent a Country,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1644. Lowest Common Ancestor of a Binary Tree II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1645. Hopper Company Queries II,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1635. Hopper Company Queries I,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1660. Correct a Binary Tree,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1628. Design an Expression Tree With Evaluate Function,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1650. Lowest Common Ancestor of a Binary Tree III,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1666. Change the Root of a Binary Tree,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1676. Lowest Common Ancestor of a Binary Tree IV,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1699. Number of Calls Between Two Persons,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1715. Count Apples and Oranges,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1698. Number of Distinct Substrings in a String,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1709. Biggest Window Between Visits,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1708. Largest Subarray Length K,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1677. Product's Worth Over Invoices,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
